system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A15.4,Tuberculosis of intrathoracic lymph nodes,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A15.5,"Tuberculosis of larynx, trachea and bronchus",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A15.6,Tuberculous pleurisy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A15.7,Primary respiratory tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A15.8,Other respiratory tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A15.9,Respiratory tuberculosis unspecified,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17,Tuberculosis of nervous system,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.0,Tuberculous meningitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.1,Meningeal tuberculoma,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.8,Other tuberculosis of nervous system,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.81,Tuberculoma of brain and spinal cord,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.82,Tuberculous meningoencephalitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.83,Tuberculous neuritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.89,Other tuberculosis of nervous system,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A17.9,"Tuberculosis of nervous system, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18,Tuberculosis of other organs,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.0,Tuberculosis of bones and joints,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.01,Tuberculosis of spine,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.02,Tuberculous arthritis of other joints,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.03,Tuberculosis of other bones,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.09,Other musculoskeletal tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.1,Tuberculosis of genitourinary system,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.10,"Tuberculosis of genitourinary system, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.11,Tuberculosis of kidney and ureter,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.12,Tuberculosis of bladder,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.13,Tuberculosis of other urinary organs,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.14,Tuberculosis of prostate,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.15,Tuberculosis of other male genital organs,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.16,Tuberculosis of cervix,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.17,Tuberculous female pelvic inflammatory disease,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.18,Tuberculosis of other female genital organs,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.2,Tuberculous peripheral lymphadenopathy,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.31,Tuberculous peritonitis,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.32,Tuberculous enteritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.39,Retroperitoneal tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.4,Tuberculosis of skin and subcutaneous tissue,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.5,Tuberculosis of eye,medium,confirmed
