system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,"1813415","CUVITRU 20 % in 5 mL Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2117971","CUVITRU 20 % in 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"352504","Carimune","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1175770","Carimune Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167148","Cutaquig","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167154","Cutaquig 165 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"2167151","Cutaquig Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1813407","Cuvitru","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1813416","Cuvitru 200 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1813410","Cuvitru Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"541555","Flebogamma","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809472","Flebogamma 10 % Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809477","Flebogamma 10 % in 100 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809479","Flebogamma 10 % in 200 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809471","Flebogamma 10 % in 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809429","Flebogamma 5 % in 10 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809457","Flebogamma 5 % in 100 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809464","Flebogamma 5 % in 200 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809475","Flebogamma 5 % in 400 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809448","Flebogamma 5 % in 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809431","Flebogamma 50 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1169034","Flebogamma Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809665","GAMMAGARD 10 % in 10 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809670","GAMMAGARD 10 % in 100 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809671","GAMMAGARD 10 % in 200 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809667","GAMMAGARD 10 % in 25 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809672","GAMMAGARD 10 % in 300 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809668","GAMMAGARD 10 % in 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809738","GAMMAGARD 10 GM Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809747","GAMMAGARD 2.5 GM Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809730","GAMMAGARD 5 GM Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"42697","Gammagard","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809666","Gammagard 10 % Injection","target","confirmed"
