system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,1738334,tacrolimus Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1738336,tacrolimus Injection [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1738338,tacrolimus 5 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,1738339,Prograf 5 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,196463,Prograf,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,198377,tacrolimus 1 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,198378,tacrolimus 5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,198379,1 ML tacrolimus 5 MG/ML Injection,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052503,tacrolimus 0.2 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052603,tacrolimus Granule Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052604,tacrolimus Granules for Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052605,tacrolimus 0.2 MG Granules for Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052606,tacrolimus 0.2 MG [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052607,tacrolimus Granules for Oral Suspension [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052608,Prograf Granule Product,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052609,Prograf 0.2 MG Granules for Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052703,tacrolimus 1 MG Granules for Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2052704,Prograf 1 MG Granules for Oral Suspension,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,235991,anhydrous tacrolimus,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,261134,Prograf 0.5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665161,BX Rating tacrolimus 0.5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665162,BX Rating tacrolimus 1 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,2665163,BX Rating tacrolimus 5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,313190,tacrolimus 0.5 MG Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,316758,tacrolimus 1 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,316759,tacrolimus 5 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,317510,tacrolimus 5 MG/ML,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,330404,tacrolimus 0.5 MG,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,366273,tacrolimus Oral Capsule [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,374015,tacrolimus Oral Capsule,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,42316,tacrolimus,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,427807,tacrolimus 5 MG Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,427808,tacrolimus 1 MG Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,451875,tacrolimus Oral Tablet,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,484288,tacrolimus monohydrate,high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,564557,tacrolimus 1 MG [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,564558,tacrolimus 5 MG [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,564559,tacrolimus 5 MG/ML [Prograf],high,confirmed
http://www.nlm.nih.gov/research/umls/rxnorm,574378,tacrolimus 0.5 MG [Prograf],high,confirmed
