system,code,display,priority,evidence
http://loinc.org,94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,94534-5,SARS-CoV-2 (COVID-19) RdRp gene [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,94559-2,SARS-CoV-2 (COVID-19) ORF1ab region [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,94640-0,SARS-CoV-2 (COVID-19) S gene [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,98132-4,SARS-CoV-2 (COVID-19) ORF1a region [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,98131-6,SARS-CoV-2 (COVID-19) ORF1b region [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,94502-2,SARS-related coronavirus RNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,94558-4,SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory system specimen by Rapid immunoassay,high,confirmed
http://loinc.org,105066-5,SARS-CoV+SARS-CoV-2 (COVID-19) Ag [Presence] in Specimen,medium,confirmed
http://loinc.org,95422-2,Influenza virus A and B and SARS-CoV-2 (COVID-19) RNA panel - Respiratory system specimen by NAA with probe detection,high,
http://loinc.org,95380-2,Influenza virus A and B and SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Respiratory system specimen by NAA with probe detection,high,
http://loinc.org,92142-9,Influenza virus A RNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,92141-1,Influenza virus B RNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,85477-8,Influenza virus A RNA [Presence] in Upper respiratory specimen by NAA with probe detection,high,confirmed
http://loinc.org,85478-6,Influenza virus B RNA [Presence] in Upper respiratory specimen by NAA with probe detection,high,confirmed
http://loinc.org,34487-9,Influenza virus A RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,40982-1,Influenza virus B RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,46082-4,Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay,high,confirmed
http://loinc.org,46083-2,Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay,high,confirmed
http://loinc.org,97733-0,Influenza virus types A and B and subtypes RNA panel - Specimen by NAA with probe detection,high,
http://loinc.org,39528-5,Adenovirus DNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,96503-8,Adenovirus DNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,92987-7,Adenovirus DNA [Presence] in Lower respiratory specimen by NAA with non-probe detection,high,confirmed
http://loinc.org,92690-7,Adenovirus 40+41 DNA [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,80674-5,Adenovirus 40+41 fiber protein gene [Presence] in Stool by NAA with probe detection,high,confirmed
http://loinc.org,82209-8,Adenovirus 40+41 DNA [Presence] in Stool by NAA with non-probe detection,high,confirmed
http://loinc.org,92135-3,Human bocavirus 1+2+3 DNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,88593-9,Human bocavirus DNA [Presence] in Lower respiratory specimen by NAA with probe detection,medium,confirmed
http://loinc.org,88613-5,Human bocavirus DNA [Presence] in Upper respiratory specimen by NAA with probe detection,medium,confirmed
http://loinc.org,91832-6,Human bocavirus Ag [Presence] in Lower respiratory specimen by Immunofluorescence,medium,confirmed
http://loinc.org,91811-0,Human bocavirus Ag [Presence] in Upper respiratory specimen by Immunofluorescence,medium,confirmed
http://loinc.org,38917-1,Human metapneumovirus RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,92134-6,Human metapneumovirus RNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
