system,code,display
http://loinc.org,44817-5,"Cytomegalovirus (CMV) IgM antibody, Spinal fluid"
http://loinc.org,45286-2,"Cytomegalovirus (CMV) IgA antibody, Body fluid"
http://loinc.org,45326-6,"Cytomegalovirus (CMV) IgG avidity, Blood"
http://loinc.org,47307-4,"Cytomegalovirus (CMV) IgG index, Serum+Cerebrospinal fluid"
http://loinc.org,47363-7,"Cytomegalovirus (CMV) antibody, Donor Blood"
http://loinc.org,47430-4,"Cytomegalovirus (CMV) antibody, Donor Blood"
http://loinc.org,49347-8,"Cytomegalovirus (CMV), Urine"
http://loinc.org,49348-6,"Cytomegalovirus (CMV), Amniotic fluid"
http://loinc.org,49349-4,"Cytomegalovirus (CMV), Bronchoalveolar lavage specimen"
http://loinc.org,49350-2,"Cytomegalovirus (CMV), Bone marrow"
http://loinc.org,49351-0,"Cytomegalovirus (CMV), Tissue"
http://loinc.org,49539-0,"Cytomegalovirus (CMV) IgM antibody, Blood"
http://loinc.org,4996-5,"Cytomegalovirus (CMV), Blood"
http://loinc.org,4997-3,"Cytomegalovirus (CMV), Tissue"
http://loinc.org,4998-1,"Cytomegalovirus (CMV), Tissue"
http://loinc.org,4999-9,"Cytomegalovirus (CMV), Urine"
http://loinc.org,5000-5,"Cytomegalovirus (CMV), Specimen"
http://loinc.org,50018-1,"Cytomegalovirus (CMV) IgG antibody, Body fluid"
http://loinc.org,5121-9,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,5122-7,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,5123-5,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,5124-3,"Cytomegalovirus (CMV) IgG antibody, Blood"
http://loinc.org,5125-0,"Cytomegalovirus (CMV) IgG antibody, Blood"
http://loinc.org,5126-8,"Cytomegalovirus (CMV) IgM antibody, Blood"
http://loinc.org,5127-6,"Cytomegalovirus (CMV) IgM antibody, Blood"
http://loinc.org,52976-8,"Cytomegalovirus (CMV) antibody, Blood"
http://loinc.org,52984-2,"Cytomegalovirus (CMV) IgG avidity, Blood"
http://loinc.org,53763-9,"Cytomegalovirus (CMV), Specimen"
http://loinc.org,54163-1,"Cytomegalovirus (CMV), Urine"
http://loinc.org,54164-9,"Cytomegalovirus (CMV) Immediate-early antigen, Blood"
http://loinc.org,54206-8,"Cytomegalovirus (CMV), Blood"
http://loinc.org,5835-4,"Cytomegalovirus (CMV) culture, Blood"
http://loinc.org,5836-2,"Cytomegalovirus (CMV) culture, Tissue"
http://loinc.org,5837-0,"Cytomegalovirus (CMV) culture, Urine"
http://loinc.org,5838-8,"Cytomegalovirus (CMV) culture, Specimen"
