"system","code","display","include","likely","preop","transplant","rejection","failure","outcome","lab","imaging"
"http://snomed.info/sct","443578000","Radionuclide imaging of transplanted kidney","true",,,,,,,,"true"
"http://snomed.info/sct","49201000175103","On waiting list for renal transplant (finding)","true","true",,,,,,,
"http://www.cms.gov/Medicare/Coding/ICD10","BT29YZZ","CT Scan of Kidney Transplant using Oth Contrast","true",,,,,,,,"true"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39ZZZ","Magnetic Resonance Imaging (MRI) of Kidney Transplant","true",,,,,,,,"true"
"http://snomed.info/sct","113127005","Kidney transplant evaluation (procedure)","true","true",,,,,,,
"http://snomed.info/sct","286625002","Cadaver allogeneic transplant kidney (substance)","true",,,"true",,,,,
"http://snomed.info/sct","718030008","Antegrade insertion of ureteric stent into ureter of transplanted kidney using fluoroscopic guidance","true",,,,,,,,"true"
"http://snomed.info/sct","128641000119100","Acute graft versus host disease due to kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","236581001","Chronic rejection of renal transplant - grade III","false",,,,"true",,,,
"http://snomed.info/sct","128571000119108","Neoplasm following transplantation of kidney","false",,,,,,"true",,
"http://snomed.info/sct","236572007","Accelerated rejection of renal transplant","false",,,,"true",,,,
"http://snomed.info/sct","236582008","Acute-on-chronic rejection of renal transplant","false",,,,"true",,,,
"http://snomed.info/sct","265550007","Removal of transplanted kidney","false",,,,,"true",,,
"http://snomed.info/sct","99591000119101","Hemorrhage associated with renal dialysis graft","false",,,,,,"true",,
"http://snomed.info/sct","1255627000","BK virus nephropathy post-kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","1263485003","Acquired cystic disease of transplanted kidney","false",,,,,,"true",,
"http://snomed.info/sct","236574008","Acute rejection of renal transplant","false",,,,"true",,,,
"http://snomed.info/sct","277011002","Pre-existing disease in renal transplant","false",,,,,,"true",,
"http://snomed.info/sct","703048006","Vesicoureteric reflux after renal transplant (disorder)","false",,,,,,"true",,
"http://snomed.info/sct","1264001009","De novo thrombotic microangiopathy after kidney transplantation","false",,,,,,"true",,
"http://snomed.info/sct","128651000119103","Graft versus host disease due to kidney transplant","false",,,,,,"true",,
"http://snomed.info/sct","217024004","Transplantation of kidney as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation (disorder)","false",,,,,,"true",,
"http://snomed.info/sct","236576005","Acute rejection of renal transplant - grade II","false",,,,"true",,,,
"http://snomed.info/sct","236577001","Acute rejection of renal transplant - grade III","false",,,,"true",,,,
"http://snomed.info/sct","420106004","Fluoroscopic venography of renal transplant (procedure)","true",,,,,,,,"true"
"http://snomed.info/sct","707148007","Recurrent post-transplant renal disease","false",,,,,"true",,,
http://hl7.org/fhir/sid/icd-10-cm,"Z76.82","Awaiting organ transplant status","true","true",,,,,,,
http://hl7.org/fhir/sid/icd-9-cm,"V49.83","Awaiting organ transplant status","true","true",,,,,,,
http://loinc.org,80863-4,"US Doppler for transplanted kidney","true",,,,,,,"true",
http://loinc.org,38766-2,"US guidance for biopsy of transplanted kidney","true",,,,,,,"true",
http://loinc.org,80737-0,"Calculated panel reactive antibody - Serum","true",,,,,,,"true",
http://loinc.org,72322-1,"HLA-A+B+C (class I) IgG antibody, Blood","true",,,,,,,"true",
