system,code,display
http://loinc.org,4537-7,Erythrocyte [Sedimentation Rate] in Blood by Westergren method
http://loinc.org,30341-2,Erythrocyte [Sedimentation Rate] in Blood
http://loinc.org,18184-2,Erythrocyte [Sedimentation Rate] in Blood by 2H Westergren method
http://loinc.org,82477-1,Erythrocyte [Sedimentation Rate] in Blood by Photometric method
http://loinc.org,43402-7,Erythrocyte [Sedimentation Rate] in Blood by 15 minute reading
http://loinc.org,4538-5,Erythrocyte [Sedimentation Rate] in Blood by Wintrobe method
http://loinc.org,4539-3,Erythrocyte [Sedimentation Rate] in Blood by Zetafuge
http://www.ama-assn.org/go/cpt,85651,"HC RBC SED RATE, NONAUTO - POCT ERYTHROCYTE SEDIMENTATION RATE, NONAUTO"
